# time  created  delivered  delivered/created
610.0000 122 103 0.8443
611.9000 122 104 0.8525
615.0000 123 104 0.8455
617.6000 123 105 0.8537
618.8000 123 106 0.8618
620.0000 124 106 0.8548
623.4000 124 107 0.8629
625.0000 125 107 0.8560
630.0000 126 107 0.8492
630.1000 126 108 0.8571
635.0000 127 108 0.8504
635.2000 127 109 0.8583
635.9000 127 110 0.8661
637.8000 127 111 0.8740
640.0000 128 111 0.8672
644.5000 128 112 0.8750
645.0000 129 112 0.8682
645.0000 129 113 0.8760
649.3000 129 114 0.8837
650.0000 130 114 0.8769
655.0000 131 114 0.8702
660.0000 132 114 0.8636
664.8000 132 115 0.8712
665.0000 133 115 0.8647
670.0000 134 115 0.8582
671.3000 134 116 0.8657
672.8000 134 117 0.8731
675.0000 135 117 0.8667
676.2000 135 118 0.8741
679.4000 135 119 0.8815
680.0000 136 119 0.8750
681.1000 136 120 0.8824
685.0000 137 120 0.8759
685.6000 137 121 0.8832
690.0000 138 121 0.8768
695.0000 139 121 0.8705
695.0000 139 122 0.8777
695.9000 139 123 0.8849
696.6000 139 124 0.8921
699.2000 139 125 0.8993
700.0000 140 125 0.8929
703.8000 140 126 0.9000
704.7000 140 127 0.9071
705.0000 141 127 0.9007
710.0000 142 127 0.8944
715.0000 143 127 0.8881
720.0000 144 127 0.8819
720.7000 144 128 0.8889
725.0000 145 128 0.8828
730.0000 146 128 0.8767
733.5000 146 129 0.8836
735.0000 147 129 0.8776
739.9000 147 130 0.8844
740.0000 148 130 0.8784
745.0000 149 130 0.8725
746.1000 149 131 0.8792
747.7000 149 132 0.8859
750.0000 150 132 0.8800
750.1000 150 133 0.8867
753.9000 150 134 0.8933
755.0000 151 134 0.8874
760.0000 152 134 0.8816
763.9000 152 135 0.8882
765.0000 153 135 0.8824
766.0000 153 136 0.8889
770.0000 154 136 0.8831
775.0000 155 136 0.8774
775.1000 155 137 0.8839
775.4000 155 138 0.8903
780.0000 156 138 0.8846
785.0000 157 138 0.8790
790.0000 158 138 0.8734
792.7000 158 139 0.8797
795.0000 159 139 0.8742
797.7000 159 140 0.8805
800.0000 160 140 0.8750
805.0000 161 140 0.8696
807.3000 161 141 0.8758
810.0000 162 141 0.8704
810.2000 162 142 0.8765
815.0000 163 142 0.8712
816.6000 163 143 0.8773
818.3000 163 144 0.8834
818.8000 163 145 0.8896
820.0000 164 145 0.8841
822.6000 164 146 0.8902
822.7000 164 147 0.8963
825.0000 165 147 0.8909
829.4000 165 148 0.8970
830.0000 166 148 0.8916
830.4000 166 149 0.8976
830.7000 166 150 0.9036
830.8000 166 151 0.9096
831.5000 166 152 0.9157
832.5000 166 153 0.9217
833.1000 166 154 0.9277
835.0000 167 154 0.9222
836.8000 167 155 0.9281
838.6000 167 156 0.9341
840.0000 168 156 0.9286
840.5000 168 157 0.9345
845.0000 169 157 0.9290
848.2000 169 158 0.9349
848.8000 169 159 0.9408
849.8000 169 160 0.9467
850.0000 170 160 0.9412
852.1000 170 161 0.9471
855.0000 171 161 0.9415
860.0000 172 161 0.9360
862.5000 172 162 0.9419
862.9000 172 163 0.9477
865.0000 173 163 0.9422
870.0000 174 163 0.9368
873.7000 174 164 0.9425
875.0000 175 164 0.9371
880.0000 176 164 0.9318
885.0000 177 164 0.9266
890.0000 178 164 0.9213
895.0000 179 164 0.9162
900.0000 180 164 0.9111
900.3000 180 165 0.9167
905.0000 181 165 0.9116
905.9000 181 166 0.9171
910.0000 182 166 0.9121
915.0000 183 166 0.9071
920.0000 184 166 0.9022
920.8000 184 167 0.9076
925.0000 185 167 0.9027
926.1000 185 168 0.9081
930.0000 186 168 0.9032
933.0000 186 169 0.9086
935.0000 187 169 0.9037
936.8000 187 170 0.9091
939.5000 187 171 0.9144
940.0000 188 171 0.9096
945.0000 189 171 0.9048
